sample,fastq_1,fastq_2,strandedness
SRR8615554,SRR8615554_1.fastq.gz,SRR8615554_2.fastq.gz,auto
SRR8615555,SRR8615555_1.fastq.gz,SRR8615555_2.fastq.gz,auto
SRR8615556,SRR8615556_1.fastq.gz,SRR8615556_2.fastq.gz,auto
SRR8615557,SRR8615557_1.fastq.gz,SRR8615557_2.fastq.gz,auto
SRR8615558,SRR8615558_1.fastq.gz,SRR8615558_2.fastq.gz,auto
SRR8615559,SRR8615559_1.fastq.gz,SRR8615559_2.fastq.gz,auto
SRR8615560,SRR8615560_1.fastq.gz,SRR8615560_2.fastq.gz,auto
SRR8615561,SRR8615561_1.fastq.gz,SRR8615561_2.fastq.gz,auto
SRR8615562,SRR8615562_1.fastq.gz,SRR8615562_2.fastq.gz,auto
SRR8615563,SRR8615563_1.fastq.gz,SRR8615563_2.fastq.gz,auto
SRR8615564,SRR8615564_1.fastq.gz,SRR8615564_2.fastq.gz,auto
SRR8615565,SRR8615565_1.fastq.gz,SRR8615565_2.fastq.gz,auto
SRR8615566,SRR8615566_1.fastq.gz,SRR8615566_2.fastq.gz,auto
SRR8615567,SRR8615567_1.fastq.gz,SRR8615567_2.fastq.gz,auto
SRR8615568,SRR8615568_1.fastq.gz,SRR8615568_2.fastq.gz,auto
SRR8615569,SRR8615569_1.fastq.gz,SRR8615569_2.fastq.gz,auto
SRR8615570,SRR8615570_1.fastq.gz,SRR8615570_2.fastq.gz,auto
SRR8615571,SRR8615571_1.fastq.gz,SRR8615571_2.fastq.gz,auto
SRR8615572,SRR8615572_1.fastq.gz,SRR8615572_2.fastq.gz,auto
SRR8615573,SRR8615573_1.fastq.gz,SRR8615573_2.fastq.gz,auto
SRR8615574,SRR8615574_1.fastq.gz,SRR8615574_2.fastq.gz,auto
SRR8615575,SRR8615575_1.fastq.gz,SRR8615575_2.fastq.gz,auto
SRR8615576,SRR8615576_1.fastq.gz,SRR8615576_2.fastq.gz,auto
SRR8615577,SRR8615577_1.fastq.gz,SRR8615577_2.fastq.gz,auto
SRR8615578,SRR8615578_1.fastq.gz,SRR8615578_2.fastq.gz,auto
SRR8615579,SRR8615579_1.fastq.gz,SRR8615579_2.fastq.gz,auto
SRR8615580,SRR8615580_1.fastq.gz,SRR8615580_2.fastq.gz,auto
SRR8615581,SRR8615581_1.fastq.gz,SRR8615581_2.fastq.gz,auto
SRR8615582,SRR8615582_1.fastq.gz,SRR8615582_2.fastq.gz,auto
SRR8615583,SRR8615583_1.fastq.gz,SRR8615583_2.fastq.gz,auto
SRR8615584,SRR8615584_1.fastq.gz,SRR8615584_2.fastq.gz,auto
SRR8615585,SRR8615585_1.fastq.gz,SRR8615585_2.fastq.gz,auto
SRR8615586,SRR8615586_1.fastq.gz,SRR8615586_2.fastq.gz,auto
SRR8615587,SRR8615587_1.fastq.gz,SRR8615587_2.fastq.gz,auto
SRR8615588,SRR8615588_1.fastq.gz,SRR8615588_2.fastq.gz,auto
SRR8615589,SRR8615589_1.fastq.gz,SRR8615589_2.fastq.gz,auto
SRR8615590,SRR8615590_1.fastq.gz,SRR8615590_2.fastq.gz,auto
SRR8615591,SRR8615591_1.fastq.gz,SRR8615591_2.fastq.gz,auto
SRR8615592,SRR8615592_1.fastq.gz,SRR8615592_2.fastq.gz,auto
SRR8615593,SRR8615593_1.fastq.gz,SRR8615593_2.fastq.gz,auto
SRR8615594,SRR8615594_1.fastq.gz,SRR8615594_2.fastq.gz,auto
SRR8615595,SRR8615595_1.fastq.gz,SRR8615595_2.fastq.gz,auto
SRR8615596,SRR8615596_1.fastq.gz,SRR8615596_2.fastq.gz,auto
SRR8615597,SRR8615597_1.fastq.gz,SRR8615597_2.fastq.gz,auto
SRR8615598,SRR8615598_1.fastq.gz,SRR8615598_2.fastq.gz,auto
SRR8615599,SRR8615599_1.fastq.gz,SRR8615599_2.fastq.gz,auto
SRR8615600,SRR8615600_1.fastq.gz,SRR8615600_2.fastq.gz,auto
SRR8615601,SRR8615601_1.fastq.gz,SRR8615601_2.fastq.gz,auto
SRR8615602,SRR8615602_1.fastq.gz,SRR8615602_2.fastq.gz,auto
SRR8615603,SRR8615603_1.fastq.gz,SRR8615603_2.fastq.gz,auto
SRR8615604,SRR8615604_1.fastq.gz,SRR8615604_2.fastq.gz,auto
SRR8615605,SRR8615605_1.fastq.gz,SRR8615605_2.fastq.gz,auto
SRR8615606,SRR8615606_1.fastq.gz,SRR8615606_2.fastq.gz,auto
SRR8615607,SRR8615607_1.fastq.gz,SRR8615607_2.fastq.gz,auto
SRR8615608,SRR8615608_1.fastq.gz,SRR8615608_2.fastq.gz,auto
SRR8615609,SRR8615609_1.fastq.gz,SRR8615609_2.fastq.gz,auto
SRR8615610,SRR8615610_1.fastq.gz,SRR8615610_2.fastq.gz,auto
SRR8615611,SRR8615611_1.fastq.gz,SRR8615611_2.fastq.gz,auto
SRR8615612,SRR8615612_1.fastq.gz,SRR8615612_2.fastq.gz,auto
SRR8615613,SRR8615613_1.fastq.gz,SRR8615613_2.fastq.gz,auto
SRR8615614,SRR8615614_1.fastq.gz,SRR8615614_2.fastq.gz,auto
SRR8615615,SRR8615615_1.fastq.gz,SRR8615615_2.fastq.gz,auto
SRR8615616,SRR8615616_1.fastq.gz,SRR8615616_2.fastq.gz,auto
SRR8615617,SRR8615617_1.fastq.gz,SRR8615617_2.fastq.gz,auto
SRR8615618,SRR8615618_1.fastq.gz,SRR8615618_2.fastq.gz,auto
SRR8615619,SRR8615619_1.fastq.gz,SRR8615619_2.fastq.gz,auto
SRR8615620,SRR8615620_1.fastq.gz,SRR8615620_2.fastq.gz,auto
SRR8615621,SRR8615621_1.fastq.gz,SRR8615621_2.fastq.gz,auto
SRR8615622,SRR8615622_1.fastq.gz,SRR8615622_2.fastq.gz,auto
SRR8615623,SRR8615623_1.fastq.gz,SRR8615623_2.fastq.gz,auto
SRR8615624,SRR8615624_1.fastq.gz,SRR8615624_2.fastq.gz,auto
SRR8615625,SRR8615625_1.fastq.gz,SRR8615625_2.fastq.gz,auto
SRR8615626,SRR8615626_1.fastq.gz,SRR8615626_2.fastq.gz,auto
SRR8615627,SRR8615627_1.fastq.gz,SRR8615627_2.fastq.gz,auto
SRR8615628,SRR8615628_1.fastq.gz,SRR8615628_2.fastq.gz,auto
SRR8615629,SRR8615629_1.fastq.gz,SRR8615629_2.fastq.gz,auto
SRR8615630,SRR8615630_1.fastq.gz,SRR8615630_2.fastq.gz,auto
SRR8615631,SRR8615631_1.fastq.gz,SRR8615631_2.fastq.gz,auto
SRR8615632,SRR8615632_1.fastq.gz,SRR8615632_2.fastq.gz,auto
SRR8615633,SRR8615633_1.fastq.gz,SRR8615633_2.fastq.gz,auto
SRR8615634,SRR8615634_1.fastq.gz,SRR8615634_2.fastq.gz,auto
SRR8615635,SRR8615635_1.fastq.gz,SRR8615635_2.fastq.gz,auto
SRR8615636,SRR8615636_1.fastq.gz,SRR8615636_2.fastq.gz,auto
SRR8615637,SRR8615637_1.fastq.gz,SRR8615637_2.fastq.gz,auto
SRR8615638,SRR8615638_1.fastq.gz,SRR8615638_2.fastq.gz,auto
SRR8615639,SRR8615639_1.fastq.gz,SRR8615639_2.fastq.gz,auto
SRR8615640,SRR8615640_1.fastq.gz,SRR8615640_2.fastq.gz,auto
SRR8615641,SRR8615641_1.fastq.gz,SRR8615641_2.fastq.gz,auto
SRR8615642,SRR8615642_1.fastq.gz,SRR8615642_2.fastq.gz,auto
SRR8615643,SRR8615643_1.fastq.gz,SRR8615643_2.fastq.gz,auto
SRR8615644,SRR8615644_1.fastq.gz,SRR8615644_2.fastq.gz,auto
SRR8615645,SRR8615645_1.fastq.gz,SRR8615645_2.fastq.gz,auto
SRR8615646,SRR8615646_1.fastq.gz,SRR8615646_2.fastq.gz,auto
SRR8615647,SRR8615647_1.fastq.gz,SRR8615647_2.fastq.gz,auto
SRR8615648,SRR8615648_1.fastq.gz,SRR8615648_2.fastq.gz,auto
SRR8615649,SRR8615649_1.fastq.gz,SRR8615649_2.fastq.gz,auto
SRR8615650,SRR8615650_1.fastq.gz,SRR8615650_2.fastq.gz,auto
SRR8615651,SRR8615651_1.fastq.gz,SRR8615651_2.fastq.gz,auto
SRR8615652,SRR8615652_1.fastq.gz,SRR8615652_2.fastq.gz,auto
SRR8615653,SRR8615653_1.fastq.gz,SRR8615653_2.fastq.gz,auto
SRR8615654,SRR8615654_1.fastq.gz,SRR8615654_2.fastq.gz,auto
SRR8615655,SRR8615655_1.fastq.gz,SRR8615655_2.fastq.gz,auto
SRR8615656,SRR8615656_1.fastq.gz,SRR8615656_2.fastq.gz,auto
SRR8615657,SRR8615657_1.fastq.gz,SRR8615657_2.fastq.gz,auto
SRR8615658,SRR8615658_1.fastq.gz,SRR8615658_2.fastq.gz,auto
SRR8615659,SRR8615659_1.fastq.gz,SRR8615659_2.fastq.gz,auto
SRR8615660,SRR8615660_1.fastq.gz,SRR8615660_2.fastq.gz,auto
SRR8615661,SRR8615661_1.fastq.gz,SRR8615661_2.fastq.gz,auto
SRR8615662,SRR8615662_1.fastq.gz,SRR8615662_2.fastq.gz,auto
SRR8615663,SRR8615663_1.fastq.gz,SRR8615663_2.fastq.gz,auto
SRR8615664,SRR8615664_1.fastq.gz,SRR8615664_2.fastq.gz,auto
SRR8615665,SRR8615665_1.fastq.gz,SRR8615665_2.fastq.gz,auto
SRR8615666,SRR8615666_1.fastq.gz,SRR8615666_2.fastq.gz,auto
SRR8615667,SRR8615667_1.fastq.gz,SRR8615667_2.fastq.gz,auto
SRR8615668,SRR8615668_1.fastq.gz,SRR8615668_2.fastq.gz,auto
SRR8615669,SRR8615669_1.fastq.gz,SRR8615669_2.fastq.gz,auto
SRR8615670,SRR8615670_1.fastq.gz,SRR8615670_2.fastq.gz,auto
SRR8615671,SRR8615671_1.fastq.gz,SRR8615671_2.fastq.gz,auto
SRR8615672,SRR8615672_1.fastq.gz,SRR8615672_2.fastq.gz,auto
SRR8615673,SRR8615673_1.fastq.gz,SRR8615673_2.fastq.gz,auto
SRR8615674,SRR8615674_1.fastq.gz,SRR8615674_2.fastq.gz,auto
SRR8615675,SRR8615675_1.fastq.gz,SRR8615675_2.fastq.gz,auto
SRR8615676,SRR8615676_1.fastq.gz,SRR8615676_2.fastq.gz,auto
SRR8615677,SRR8615677_1.fastq.gz,SRR8615677_2.fastq.gz,auto
SRR8615678,SRR8615678_1.fastq.gz,SRR8615678_2.fastq.gz,auto
SRR8615679,SRR8615679_1.fastq.gz,SRR8615679_2.fastq.gz,auto
SRR8615680,SRR8615680_1.fastq.gz,SRR8615680_2.fastq.gz,auto
SRR8615681,SRR8615681_1.fastq.gz,SRR8615681_2.fastq.gz,auto
SRR8615682,SRR8615682_1.fastq.gz,SRR8615682_2.fastq.gz,auto
SRR8615683,SRR8615683_1.fastq.gz,SRR8615683_2.fastq.gz,auto
SRR8615684,SRR8615684_1.fastq.gz,SRR8615684_2.fastq.gz,auto
SRR8615685,SRR8615685_1.fastq.gz,SRR8615685_2.fastq.gz,auto
SRR8615686,SRR8615686_1.fastq.gz,SRR8615686_2.fastq.gz,auto
SRR8615687,SRR8615687_1.fastq.gz,SRR8615687_2.fastq.gz,auto
SRR8615688,SRR8615688_1.fastq.gz,SRR8615688_2.fastq.gz,auto
SRR8615689,SRR8615689_1.fastq.gz,SRR8615689_2.fastq.gz,auto
SRR8615690,SRR8615690_1.fastq.gz,SRR8615690_2.fastq.gz,auto
SRR8615691,SRR8615691_1.fastq.gz,SRR8615691_2.fastq.gz,auto
SRR8615692,SRR8615692_1.fastq.gz,SRR8615692_2.fastq.gz,auto
SRR8615693,SRR8615693_1.fastq.gz,SRR8615693_2.fastq.gz,auto
SRR8615694,SRR8615694_1.fastq.gz,SRR8615694_2.fastq.gz,auto
SRR8615695,SRR8615695_1.fastq.gz,SRR8615695_2.fastq.gz,auto
SRR8615696,SRR8615696_1.fastq.gz,SRR8615696_2.fastq.gz,auto
SRR8615697,SRR8615697_1.fastq.gz,SRR8615697_2.fastq.gz,auto
SRR8615698,SRR8615698_1.fastq.gz,SRR8615698_2.fastq.gz,auto
SRR8615699,SRR8615699_1.fastq.gz,SRR8615699_2.fastq.gz,auto
SRR8615700,SRR8615700_1.fastq.gz,SRR8615700_2.fastq.gz,auto
SRR8615701,SRR8615701_1.fastq.gz,SRR8615701_2.fastq.gz,auto
SRR8615702,SRR8615702_1.fastq.gz,SRR8615702_2.fastq.gz,auto
SRR8615703,SRR8615703_1.fastq.gz,SRR8615703_2.fastq.gz,auto
SRR8615704,SRR8615704_1.fastq.gz,SRR8615704_2.fastq.gz,auto
SRR8615705,SRR8615705_1.fastq.gz,SRR8615705_2.fastq.gz,auto
SRR8615706,SRR8615706_1.fastq.gz,SRR8615706_2.fastq.gz,auto
SRR8615707,SRR8615707_1.fastq.gz,SRR8615707_2.fastq.gz,auto
SRR8615708,SRR8615708_1.fastq.gz,SRR8615708_2.fastq.gz,auto
SRR8615709,SRR8615709_1.fastq.gz,SRR8615709_2.fastq.gz,auto
SRR8615710,SRR8615710_1.fastq.gz,SRR8615710_2.fastq.gz,auto
SRR8615711,SRR8615711_1.fastq.gz,SRR8615711_2.fastq.gz,auto
SRR8615712,SRR8615712_1.fastq.gz,SRR8615712_2.fastq.gz,auto
SRR8615713,SRR8615713_1.fastq.gz,SRR8615713_2.fastq.gz,auto
SRR8615714,SRR8615714_1.fastq.gz,SRR8615714_2.fastq.gz,auto
SRR8615715,SRR8615715_1.fastq.gz,SRR8615715_2.fastq.gz,auto
SRR8615716,SRR8615716_1.fastq.gz,SRR8615716_2.fastq.gz,auto
SRR8615717,SRR8615717_1.fastq.gz,SRR8615717_2.fastq.gz,auto
SRR8615718,SRR8615718_1.fastq.gz,SRR8615718_2.fastq.gz,auto
SRR8615719,SRR8615719_1.fastq.gz,SRR8615719_2.fastq.gz,auto
SRR8615720,SRR8615720_1.fastq.gz,SRR8615720_2.fastq.gz,auto
SRR8615721,SRR8615721_1.fastq.gz,SRR8615721_2.fastq.gz,auto
SRR8615722,SRR8615722_1.fastq.gz,SRR8615722_2.fastq.gz,auto
SRR8615723,SRR8615723_1.fastq.gz,SRR8615723_2.fastq.gz,auto
SRR8615724,SRR8615724_1.fastq.gz,SRR8615724_2.fastq.gz,auto
SRR8615725,SRR8615725_1.fastq.gz,SRR8615725_2.fastq.gz,auto
SRR8615726,SRR8615726_1.fastq.gz,SRR8615726_2.fastq.gz,auto
SRR8615727,SRR8615727_1.fastq.gz,SRR8615727_2.fastq.gz,auto
SRR8615728,SRR8615728_1.fastq.gz,SRR8615728_2.fastq.gz,auto
SRR8615729,SRR8615729_1.fastq.gz,SRR8615729_2.fastq.gz,auto
SRR8615730,SRR8615730_1.fastq.gz,SRR8615730_2.fastq.gz,auto
SRR8615731,SRR8615731_1.fastq.gz,SRR8615731_2.fastq.gz,auto
SRR8615732,SRR8615732_1.fastq.gz,SRR8615732_2.fastq.gz,auto
SRR8615733,SRR8615733_1.fastq.gz,SRR8615733_2.fastq.gz,auto
SRR8615734,SRR8615734_1.fastq.gz,SRR8615734_2.fastq.gz,auto
SRR8615735,SRR8615735_1.fastq.gz,SRR8615735_2.fastq.gz,auto
SRR8615736,SRR8615736_1.fastq.gz,SRR8615736_2.fastq.gz,auto
SRR8615737,SRR8615737_1.fastq.gz,SRR8615737_2.fastq.gz,auto
SRR8615738,SRR8615738_1.fastq.gz,SRR8615738_2.fastq.gz,auto
SRR8615739,SRR8615739_1.fastq.gz,SRR8615739_2.fastq.gz,auto
SRR8615740,SRR8615740_1.fastq.gz,SRR8615740_2.fastq.gz,auto
SRR8615741,SRR8615741_1.fastq.gz,SRR8615741_2.fastq.gz,auto
SRR8615742,SRR8615742_1.fastq.gz,SRR8615742_2.fastq.gz,auto
SRR8615743,SRR8615743_1.fastq.gz,SRR8615743_2.fastq.gz,auto
SRR8615744,SRR8615744_1.fastq.gz,SRR8615744_2.fastq.gz,auto
SRR8615745,SRR8615745_1.fastq.gz,SRR8615745_2.fastq.gz,auto
SRR8615746,SRR8615746_1.fastq.gz,SRR8615746_2.fastq.gz,auto
SRR8615747,SRR8615747_1.fastq.gz,SRR8615747_2.fastq.gz,auto
SRR8615748,SRR8615748_1.fastq.gz,SRR8615748_2.fastq.gz,auto
SRR8615749,SRR8615749_1.fastq.gz,SRR8615749_2.fastq.gz,auto
SRR8615750,SRR8615750_1.fastq.gz,SRR8615750_2.fastq.gz,auto
SRR8615751,SRR8615751_1.fastq.gz,SRR8615751_2.fastq.gz,auto
SRR8615752,SRR8615752_1.fastq.gz,SRR8615752_2.fastq.gz,auto
SRR8615753,SRR8615753_1.fastq.gz,SRR8615753_2.fastq.gz,auto
SRR8615754,SRR8615754_1.fastq.gz,SRR8615754_2.fastq.gz,auto
SRR8615755,SRR8615755_1.fastq.gz,SRR8615755_2.fastq.gz,auto
SRR8615756,SRR8615756_1.fastq.gz,SRR8615756_2.fastq.gz,auto
SRR8615757,SRR8615757_1.fastq.gz,SRR8615757_2.fastq.gz,auto
SRR8615758,SRR8615758_1.fastq.gz,SRR8615758_2.fastq.gz,auto
SRR8615759,SRR8615759_1.fastq.gz,SRR8615759_2.fastq.gz,auto
SRR8615760,SRR8615760_1.fastq.gz,SRR8615760_2.fastq.gz,auto
SRR8615761,SRR8615761_1.fastq.gz,SRR8615761_2.fastq.gz,auto
SRR8615762,SRR8615762_1.fastq.gz,SRR8615762_2.fastq.gz,auto
SRR8615763,SRR8615763_1.fastq.gz,SRR8615763_2.fastq.gz,auto
SRR8615764,SRR8615764_1.fastq.gz,SRR8615764_2.fastq.gz,auto
SRR8615765,SRR8615765_1.fastq.gz,SRR8615765_2.fastq.gz,auto
SRR8615766,SRR8615766_1.fastq.gz,SRR8615766_2.fastq.gz,auto
SRR8615767,SRR8615767_1.fastq.gz,SRR8615767_2.fastq.gz,auto
SRR8615768,SRR8615768_1.fastq.gz,SRR8615768_2.fastq.gz,auto
SRR8615769,SRR8615769_1.fastq.gz,SRR8615769_2.fastq.gz,auto
SRR8615770,SRR8615770_1.fastq.gz,SRR8615770_2.fastq.gz,auto
SRR8615771,SRR8615771_1.fastq.gz,SRR8615771_2.fastq.gz,auto
SRR8615772,SRR8615772_1.fastq.gz,SRR8615772_2.fastq.gz,auto
SRR8615773,SRR8615773_1.fastq.gz,SRR8615773_2.fastq.gz,auto
SRR8615774,SRR8615774_1.fastq.gz,SRR8615774_2.fastq.gz,auto
SRR8615775,SRR8615775_1.fastq.gz,SRR8615775_2.fastq.gz,auto
SRR8615776,SRR8615776_1.fastq.gz,SRR8615776_2.fastq.gz,auto
SRR8615777,SRR8615777_1.fastq.gz,SRR8615777_2.fastq.gz,auto
SRR8615778,SRR8615778_1.fastq.gz,SRR8615778_2.fastq.gz,auto
SRR8615779,SRR8615779_1.fastq.gz,SRR8615779_2.fastq.gz,auto
SRR8615780,SRR8615780_1.fastq.gz,SRR8615780_2.fastq.gz,auto
SRR8615781,SRR8615781_1.fastq.gz,SRR8615781_2.fastq.gz,auto
SRR8615782,SRR8615782_1.fastq.gz,SRR8615782_2.fastq.gz,auto
SRR8615783,SRR8615783_1.fastq.gz,SRR8615783_2.fastq.gz,auto
SRR8615784,SRR8615784_1.fastq.gz,SRR8615784_2.fastq.gz,auto
SRR8615785,SRR8615785_1.fastq.gz,SRR8615785_2.fastq.gz,auto
SRR8615786,SRR8615786_1.fastq.gz,SRR8615786_2.fastq.gz,auto
SRR8615787,SRR8615787_1.fastq.gz,SRR8615787_2.fastq.gz,auto
SRR8615788,SRR8615788_1.fastq.gz,SRR8615788_2.fastq.gz,auto
SRR8615789,SRR8615789_1.fastq.gz,SRR8615789_2.fastq.gz,auto
SRR8615790,SRR8615790_1.fastq.gz,SRR8615790_2.fastq.gz,auto
SRR8615791,SRR8615791_1.fastq.gz,SRR8615791_2.fastq.gz,auto
SRR8615792,SRR8615792_1.fastq.gz,SRR8615792_2.fastq.gz,auto
SRR8615793,SRR8615793_1.fastq.gz,SRR8615793_2.fastq.gz,auto
SRR8615794,SRR8615794_1.fastq.gz,SRR8615794_2.fastq.gz,auto
SRR8615795,SRR8615795_1.fastq.gz,SRR8615795_2.fastq.gz,auto
SRR8615796,SRR8615796_1.fastq.gz,SRR8615796_2.fastq.gz,auto
SRR8615797,SRR8615797_1.fastq.gz,SRR8615797_2.fastq.gz,auto
SRR8615798,SRR8615798_1.fastq.gz,SRR8615798_2.fastq.gz,auto
SRR8615799,SRR8615799_1.fastq.gz,SRR8615799_2.fastq.gz,auto
SRR8615800,SRR8615800_1.fastq.gz,SRR8615800_2.fastq.gz,auto
SRR8615801,SRR8615801_1.fastq.gz,SRR8615801_2.fastq.gz,auto
SRR8615802,SRR8615802_1.fastq.gz,SRR8615802_2.fastq.gz,auto
SRR8615803,SRR8615803_1.fastq.gz,SRR8615803_2.fastq.gz,auto
SRR8615804,SRR8615804_1.fastq.gz,SRR8615804_2.fastq.gz,auto
SRR8615805,SRR8615805_1.fastq.gz,SRR8615805_2.fastq.gz,auto
SRR8615806,SRR8615806_1.fastq.gz,SRR8615806_2.fastq.gz,auto
SRR8615807,SRR8615807_1.fastq.gz,SRR8615807_2.fastq.gz,auto
SRR8615808,SRR8615808_1.fastq.gz,SRR8615808_2.fastq.gz,auto
SRR8615809,SRR8615809_1.fastq.gz,SRR8615809_2.fastq.gz,auto
SRR8615810,SRR8615810_1.fastq.gz,SRR8615810_2.fastq.gz,auto
SRR8615811,SRR8615811_1.fastq.gz,SRR8615811_2.fastq.gz,auto
SRR8615812,SRR8615812_1.fastq.gz,SRR8615812_2.fastq.gz,auto
SRR8615813,SRR8615813_1.fastq.gz,SRR8615813_2.fastq.gz,auto
SRR8615814,SRR8615814_1.fastq.gz,SRR8615814_2.fastq.gz,auto
SRR8615815,SRR8615815_1.fastq.gz,SRR8615815_2.fastq.gz,auto
SRR8615816,SRR8615816_1.fastq.gz,SRR8615816_2.fastq.gz,auto
SRR8615817,SRR8615817_1.fastq.gz,SRR8615817_2.fastq.gz,auto
SRR8615818,SRR8615818_1.fastq.gz,SRR8615818_2.fastq.gz,auto
SRR8615819,SRR8615819_1.fastq.gz,SRR8615819_2.fastq.gz,auto
SRR8615820,SRR8615820_1.fastq.gz,SRR8615820_2.fastq.gz,auto
SRR8615821,SRR8615821_1.fastq.gz,SRR8615821_2.fastq.gz,auto
SRR8615822,SRR8615822_1.fastq.gz,SRR8615822_2.fastq.gz,auto
SRR8615823,SRR8615823_1.fastq.gz,SRR8615823_2.fastq.gz,auto
SRR8615824,SRR8615824_1.fastq.gz,SRR8615824_2.fastq.gz,auto
SRR8615825,SRR8615825_1.fastq.gz,SRR8615825_2.fastq.gz,auto
SRR8615826,SRR8615826_1.fastq.gz,SRR8615826_2.fastq.gz,auto
SRR8615827,SRR8615827_1.fastq.gz,SRR8615827_2.fastq.gz,auto
SRR8615828,SRR8615828_1.fastq.gz,SRR8615828_2.fastq.gz,auto
SRR8615829,SRR8615829_1.fastq.gz,SRR8615829_2.fastq.gz,auto
SRR8615830,SRR8615830_1.fastq.gz,SRR8615830_2.fastq.gz,auto
SRR8615831,SRR8615831_1.fastq.gz,SRR8615831_2.fastq.gz,auto
SRR8615832,SRR8615832_1.fastq.gz,SRR8615832_2.fastq.gz,auto
SRR8615833,SRR8615833_1.fastq.gz,SRR8615833_2.fastq.gz,auto
SRR8615834,SRR8615834_1.fastq.gz,SRR8615834_2.fastq.gz,auto
SRR8615835,SRR8615835_1.fastq.gz,SRR8615835_2.fastq.gz,auto
SRR8615836,SRR8615836_1.fastq.gz,SRR8615836_2.fastq.gz,auto
SRR8615837,SRR8615837_1.fastq.gz,SRR8615837_2.fastq.gz,auto
SRR8615838,SRR8615838_1.fastq.gz,SRR8615838_2.fastq.gz,auto
SRR8615839,SRR8615839_1.fastq.gz,SRR8615839_2.fastq.gz,auto
SRR8615840,SRR8615840_1.fastq.gz,SRR8615840_2.fastq.gz,auto
SRR8615841,SRR8615841_1.fastq.gz,SRR8615841_2.fastq.gz,auto
SRR8615842,SRR8615842_1.fastq.gz,SRR8615842_2.fastq.gz,auto
SRR8615843,SRR8615843_1.fastq.gz,SRR8615843_2.fastq.gz,auto
SRR8615844,SRR8615844_1.fastq.gz,SRR8615844_2.fastq.gz,auto
SRR8615845,SRR8615845_1.fastq.gz,SRR8615845_2.fastq.gz,auto
SRR8615846,SRR8615846_1.fastq.gz,SRR8615846_2.fastq.gz,auto
SRR8615847,SRR8615847_1.fastq.gz,SRR8615847_2.fastq.gz,auto
SRR8615848,SRR8615848_1.fastq.gz,SRR8615848_2.fastq.gz,auto
SRR8615849,SRR8615849_1.fastq.gz,SRR8615849_2.fastq.gz,auto
SRR8615850,SRR8615850_1.fastq.gz,SRR8615850_2.fastq.gz,auto
SRR8615851,SRR8615851_1.fastq.gz,SRR8615851_2.fastq.gz,auto
SRR8615852,SRR8615852_1.fastq.gz,SRR8615852_2.fastq.gz,auto
SRR8615853,SRR8615853_1.fastq.gz,SRR8615853_2.fastq.gz,auto
SRR8615854,SRR8615854_1.fastq.gz,SRR8615854_2.fastq.gz,auto
SRR8615855,SRR8615855_1.fastq.gz,SRR8615855_2.fastq.gz,auto
SRR8615856,SRR8615856_1.fastq.gz,SRR8615856_2.fastq.gz,auto
SRR8615857,SRR8615857_1.fastq.gz,SRR8615857_2.fastq.gz,auto
SRR8615858,SRR8615858_1.fastq.gz,SRR8615858_2.fastq.gz,auto
SRR8615859,SRR8615859_1.fastq.gz,SRR8615859_2.fastq.gz,auto
SRR8615860,SRR8615860_1.fastq.gz,SRR8615860_2.fastq.gz,auto
SRR8615861,SRR8615861_1.fastq.gz,SRR8615861_2.fastq.gz,auto
SRR8615862,SRR8615862_1.fastq.gz,SRR8615862_2.fastq.gz,auto
SRR8615863,SRR8615863_1.fastq.gz,SRR8615863_2.fastq.gz,auto
SRR8615864,SRR8615864_1.fastq.gz,SRR8615864_2.fastq.gz,auto
SRR8615865,SRR8615865_1.fastq.gz,SRR8615865_2.fastq.gz,auto
SRR8615866,SRR8615866_1.fastq.gz,SRR8615866_2.fastq.gz,auto
SRR8615867,SRR8615867_1.fastq.gz,SRR8615867_2.fastq.gz,auto
SRR8615868,SRR8615868_1.fastq.gz,SRR8615868_2.fastq.gz,auto
SRR8615869,SRR8615869_1.fastq.gz,SRR8615869_2.fastq.gz,auto
SRR8615870,SRR8615870_1.fastq.gz,SRR8615870_2.fastq.gz,auto
SRR8615871,SRR8615871_1.fastq.gz,SRR8615871_2.fastq.gz,auto
SRR8615872,SRR8615872_1.fastq.gz,SRR8615872_2.fastq.gz,auto
SRR8615873,SRR8615873_1.fastq.gz,SRR8615873_2.fastq.gz,auto
SRR8615874,SRR8615874_1.fastq.gz,SRR8615874_2.fastq.gz,auto
SRR8615875,SRR8615875_1.fastq.gz,SRR8615875_2.fastq.gz,auto
SRR8615876,SRR8615876_1.fastq.gz,SRR8615876_2.fastq.gz,auto
SRR8615877,SRR8615877_1.fastq.gz,SRR8615877_2.fastq.gz,auto
SRR8615878,SRR8615878_1.fastq.gz,SRR8615878_2.fastq.gz,auto
SRR8615879,SRR8615879_1.fastq.gz,SRR8615879_2.fastq.gz,auto
SRR8615880,SRR8615880_1.fastq.gz,SRR8615880_2.fastq.gz,auto
SRR8615881,SRR8615881_1.fastq.gz,SRR8615881_2.fastq.gz,auto
SRR8615882,SRR8615882_1.fastq.gz,SRR8615882_2.fastq.gz,auto
SRR8615883,SRR8615883_1.fastq.gz,SRR8615883_2.fastq.gz,auto
SRR8615884,SRR8615884_1.fastq.gz,SRR8615884_2.fastq.gz,auto
SRR8615885,SRR8615885_1.fastq.gz,SRR8615885_2.fastq.gz,auto
