Run,Cell_line,Cellosaurus_ID
SRR8615748,SF539,CVCL_1691
SRR8615751,SF-172,CVCL_V613
SRR8615752,SF126,CVCL_1688
SRR8615754,U-937,CVCL_0007
SRR8615756,MDA-MB-157,CVCL_0618
SRR8615757,MCAS,CVCL_3020
SRR8615758,MCF7,CVCL_0031
SRR8615760,MC116,CVCL_1399
SRR8615762,M-07e,CVCL_2106
SRR8615765,Panc 04.03,CVCL_1636
SRR8615766,MDA-MB-175-VII,CVCL_1400
SRR8615769,BFTC-909,CVCL_1084
SRR8615771,BEN,CVCL_1082
SRR8615773,B-CPAP,CVCL_0153
SRR8615774,AU565,CVCL_1074
SRR8615776,BHT-101,CVCL_1085
SRR8615778,Hs 695T,CVCL_0851
SRR8615779,Hs 698.T,CVCL_0855
SRR8615781,Hs 729,CVCL_0871
SRR8615782,Hs 618.T,CVCL_0827
SRR8615784,Hs 683,CVCL_0844
SRR8615786,COLO 792,CVCL_1134
SRR8615787,COLO-783,CVCL_1997
SRR8615788,COLO 741,CVCL_1133
SRR8615790,Hs 737.T,CVCL_0878
SRR8615793,COLO 668,CVCL_1128
SRR8615794,NCI-H2077;NCI-H1581,CVCL_5157
SRR8615796,NCI-H2085,CVCL_1523
SRR8615797,RERF-LC-Sq1,CVCL_1656
SRR8615799,NCI-H520,CVCL_1566
SRR8615802,NCI-H2087,CVCL_1524
SRR8615803,RKO,CVCL_0504
SRR8615806,NCI-H3255,CVCL_6831
SRR8615807,NCI-H322,CVCL_1556
SRR8615810,NCI-H460,CVCL_0459
SRR8615811,NCI-H446,CVCL_1562
SRR8615814,NCI-H2126,CVCL_1532
SRR8615815,HCC-1438,CVCL_L088
SRR8615816,HCC1428,CVCL_1252
SRR8615818,HCC-1171,CVCL_5126
SRR8615820,HARA [Human squamous cell lung carcinoma],CVCL_2914
SRR8615821,HCC1419,CVCL_1251
SRR8615822,HCC1395,CVCL_1249
SRR8615823,HCC-1359,CVCL_5128
SRR8615824,HCC-1195,CVCL_5127
SRR8615827,TE-10,CVCL_1760
SRR8615829,T84,CVCL_0555
SRR8615830,T98G,CVCL_0556
SRR8615831,TALL-1,CVCL_1736
SRR8615833,TE 125.T,CVCL_1740
SRR8615836,LN-229,CVCL_0393
SRR8615837,LN-215,CVCL_3954
SRR8615839,LMSU,CVCL_4849
SRR8615840,LK-2,CVCL_1377
SRR8615843,IGR-39,CVCL_2076
SRR8615844,IGROV1,CVCL_1304
SRR8615846,IGR-37,CVCL_2075
SRR8615847,HuTu 80,CVCL_1301
SRR8615850,HuT 78,CVCL_0337
SRR8615852,SNB75,CVCL_1706
SRR8615856,SW948,CVCL_0632
SRR8615858,T24,CVCL_0554
SRR8615859,SKPNDW,CVCL_1703
SRR8615862,SLR 20,CVCL_V606
SRR8615865,SLR 24,CVCL_V610
SRR8615866,SLR 25,CVCL_V611
SRR8615869,FTC-133,CVCL_1219
SRR8615870,OVCAR-4,CVCL_1627
SRR8615871,OVCAR-8,CVCL_1629
SRR8615872,LN382,CVCL_3956
SRR8615873,OV7,CVCL_2675
